,test_data,model_type,clf,parameters,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,p_at_30,p_at_50,p_at_70,p_at_100,r_at_1,r_at_2,r_at_5,r_at_10,r_at_20,r_at_30,r_at_50,r_at_70,r_at_100,f_at_1,f_at_2,f_at_5,f_at_10,f_at_20,f_at_30,f_at_50,f_at_70,f_at_100,acc_at_1,acc_at_2,acc_at_5,acc_at_10,acc_at_20,acc_at_30,acc_at_50,acc_at_70,acc_at_100,time_exec
0,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2}",0.9423807260008525,0.9263157894736842,0.9105263157894737,0.9473684210526315,0.9568874868559412,0.9516552811350499,0.9358794674141556,0.9159133907925163,0.7657657657657657,0.5447188649500788,0.016978583831757668,0.033378352305614506,0.08682230368512445,0.17557399189658499,0.3494115377194675,0.515338606984372,0.8406328381246383,0.9839861084314104,1.0,0.03334596438044714,0.06439605434580309,0.15906680805938495,0.2967068796869905,0.5111487440022581,0.664675874082369,0.8766599597585513,0.8612682597314868,0.7052660225881072,0.4637940094587493,0.47167630057803467,0.4999474513925381,0.5466106148187073,0.6359432475039412,0.7167630057803468,0.8711508145034157,0.8273252758801892,0.5447188649500788,2019/6/14 4:33
1,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 5}",0.9435922253820422,0.968421052631579,0.9052631578947369,0.9473684210526315,0.9526813880126183,0.9527062532842879,0.9362298528381219,0.9178053394996847,0.766966966966967,0.5447188649500788,0.01775033764229211,0.0331854138529809,0.08682230368512445,0.17480223808605055,0.34979741462473474,0.5155315454370056,0.8423692841983408,0.9855296160524792,1.0,0.034861690034103825,0.06402382281779266,0.15906680805938495,0.2954026736224324,0.511713237369461,0.6649247231554063,0.8784708249496983,0.8626192687663599,0.7052660225881072,0.4646347871781398,0.47146610614818707,0.4999474513925381,0.5457698370993169,0.6363636363636364,0.7169732002101944,0.8730425643720442,0.82900683131897,0.5447188649500788,2019/6/14 4:33
2,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10}",0.9463330247743306,0.9157894736842105,0.9263157894736842,0.9557894736842105,0.9568874868559412,0.953231739358907,0.9365802382620882,0.9165440403615724,0.7705705705705705,0.5447188649500788,0.01678564537912406,0.033957167663515336,0.08759405749565888,0.17557399189658499,0.3499903530773683,0.5157244838896392,0.8412116534825391,0.9901601389156859,1.0,0.03296703296703297,0.06551274892983436,0.16048073524213502,0.2967068796869905,0.5119954840530623,0.6651735722284434,0.8772635814889337,0.8666722958709786,0.7052660225881072,0.4635838150289017,0.4723068838675775,0.5007882291119286,0.5466106148187073,0.636573830793484,0.717183394640042,0.8717813977929585,0.8340514976353126,0.5447188649500788,2019/6/14 4:33
3,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 2}",0.8951107160296937,0.8736842105263158,0.8842105263157894,0.8968421052631579,0.8937960042060988,0.9148712559117184,0.9162578836720392,0.9024595333193189,0.7225225225225225,0.5447188649500788,0.01601389156858962,0.03241366004244646,0.0821917808219178,0.1639976847385684,0.3359058460351148,0.5045340536368899,0.8282847771560872,0.9284198340729307,1.0,0.03145130731337628,0.06253489670575098,0.15058324496288442,0.2771437887186175,0.4913914761501552,0.6507403259922857,0.8637826961770624,0.8126319344760616,0.7052660225881072,0.4627430373095113,0.4706253284287966,0.4949027850761955,0.5339989490278507,0.6212296374146085,0.7049921177088807,0.8576983709931687,0.7667892800840778,0.5447188649500788,2019/6/14 4:33
4,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 5}",0.9041015276699216,0.8421052631578947,0.8736842105263158,0.911578947368421,0.9190325972660357,0.9148712559117184,0.9162578836720392,0.9062434307336557,0.7321321321321321,0.5447188649500788,0.01543507621068879,0.03202778313717924,0.08354234999035308,0.16862820760177502,0.3359058460351148,0.5045340536368899,0.8317576693034922,0.9407678950414817,1.0,0.030314513073133764,0.06179043364973013,0.1530576175326971,0.2849690251059667,0.4913914761501552,0.6507403259922857,0.8674044265593561,0.8234400067550451,0.7052660225881072,0.4621124540199685,0.4702049395691014,0.49637414608512875,0.5390436153441934,0.6212296374146085,0.7049921177088807,0.8614818707304256,0.7802417235943248,0.5447188649500788,2019/6/14 4:34
5,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 10}",0.9219081612965464,0.9263157894736842,0.9105263157894737,0.9094736842105263,0.9158780231335436,0.9211770888071467,0.9201121233356693,0.912549926424217,0.7507507507507507,0.5447188649500788,0.016978583831757668,0.033378352305614506,0.08334941153771946,0.1680493922438742,0.33822110746671813,0.5066563766158595,0.8375458228825005,0.9646922631680493,1.0,0.03334596438044714,0.06439605434580309,0.15270413573700956,0.28399087055754807,0.4947784363533729,0.6534776657956949,0.8734406438631791,0.8443806467955753,0.7052660225881072,0.4637940094587493,0.47167630057803467,0.49616395165528115,0.5384130320546505,0.6237519705727799,0.7073042564372044,0.8677877036258539,0.8063058328954282,0.5447188649500788,2019/6/14 4:34
6,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 2}",0.8922645843565931,0.9263157894736842,0.9421052631578948,0.92,0.9211356466876972,0.9243300052548608,0.9183601962158374,0.9001471515661131,0.7193693693693693,0.5447188649500788,0.016978583831757668,0.03453598302141617,0.08431410380088751,0.16901408450704225,0.3393787381825198,0.5056916843526915,0.8261624541771175,0.9243681265676249,1.0,0.03334596438044714,0.06662944351386561,0.15447154471544713,0.28562112813824586,0.4964719164549816,0.6522334204305089,0.861569416498994,0.8090855357595204,0.7052660225881072,0.4637940094587493,0.4729374671571203,0.4972149238045192,0.5394640042038886,0.6250131371518655,0.7062532842879664,0.855386232264845,0.762375197057278,0.5447188649500788,2019/6/14 4:34
7,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 5}",0.9022161021123642,0.8947368421052632,0.9,0.9305263157894736,0.9158780231335436,0.9185496584340515,0.9166082690960056,0.9001471515661131,0.7313813813813814,0.5447188649500788,0.01639976847385684,0.03299247540034729,0.08527879606405557,0.1680493922438742,0.33725641520355004,0.5047269920895234,0.8261624541771175,0.9398032027783138,1.0,0.03220917014020463,0.06365159128978225,0.15623895369388477,0.28399087055754807,0.49336720293536546,0.6509891750653228,0.861569416498994,0.8225956261082497,0.7052660225881072,0.4631634261692065,0.47125591171833947,0.4982658959537572,0.5384130320546505,0.6227009984235418,0.7052023121387283,0.855386232264845,0.7791907514450868,0.5447188649500788,2019/6/14 4:34
8,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 10}",0.9197597390716756,0.8947368421052632,0.8842105263157894,0.9157894736842105,0.9158780231335436,0.9253809774040987,0.9257182901191311,0.9037208324574312,0.748048048048048,0.5447188649500788,0.01639976847385684,0.03241366004244646,0.0839282268956203,0.1680493922438742,0.339764615087787,0.5097433918579973,0.8294424078718888,0.9612193710206444,1.0,0.03220917014020463,0.06253489670575098,0.15376458112407212,0.28399087055754807,0.49703640982218456,0.6574592509642903,0.864989939637827,0.8413408764671114,0.7052660225881072,0.4631634261692065,0.4706253284287966,0.49679453494482395,0.5384130320546505,0.6254335260115607,0.7106673673147662,0.8589595375722543,0.8025223331581713,0.5447188649500788,2019/6/14 4:34
9,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 200, 'min_samples_split': 2}",0.8915002461167796,0.9578947368421052,0.9210526315789473,0.9157894736842105,0.92534174553102,0.9264319495533369,0.9187105816398038,0.9001471515661131,0.7189189189189189,0.5447188649500788,0.0175573991896585,0.03376422921088173,0.0839282268956203,0.16978583831757668,0.3401504919930542,0.5058846228053251,0.8261624541771175,0.9237893112097241,1.0,0.034482758620689655,0.06514051740182393,0.15376458112407212,0.28692533420280397,0.4976009031893875,0.6524822695035462,0.861569416498994,0.808578907371443,0.7052660225881072,0.4644245927482922,0.4720966894377299,0.49679453494482395,0.540304781923279,0.6258539148712559,0.706463478717814,0.855386232264845,0.7617446137677352,0.5447188649500788,2019/6/14 4:34
